account_id,customer_id,holder_role,added_date
1,164,primary,2018-06-17
2,300,primary,2018-07-05
3,336,primary,2019-09-07
4,181,primary,2017-11-20
4,87,authorized_signer,2017-11-20
4,72,joint,2017-11-20
5,212,primary,2015-08-29
6,342,primary,2017-08-05
7,275,primary,2022-05-24
8,269,primary,2020-08-19
9,208,primary,2017-02-25
10,333,primary,2017-09-23
11,88,primary,2016-01-18
11,43,authorized_signer,2016-01-18
12,22,primary,2022-03-26
13,279,primary,2024-09-25
14,386,primary,2015-05-15
15,200,primary,2024-03-16
16,178,primary,2018-09-20
17,397,primary,2019-11-26
18,349,primary,2022-02-10
19,195,primary,2019-04-06
20,390,primary,2016-09-23
21,182,primary,2016-06-26
21,284,joint,2016-06-26
22,287,primary,2023-10-19
23,86,primary,2020-11-04
23,223,authorized_signer,2020-11-04
24,101,primary,2020-06-06
25,226,primary,2016-07-08
26,103,primary,2024-02-23
27,125,primary,2016-12-28
28,93,primary,2018-02-22
29,36,primary,2015-04-21
30,217,primary,2022-07-19
30,194,authorized_signer,2022-07-19
30,38,authorized_signer,2022-07-19
31,360,primary,2020-12-28
32,86,primary,2021-08-29
33,221,primary,2015-07-01
34,192,primary,2016-02-08
35,213,primary,2023-08-30
35,44,joint,2023-08-30
36,244,primary,2016-08-03
37,176,primary,2023-02-05
37,332,joint,2023-02-05
38,208,primary,2023-04-22
39,220,primary,2017-02-02
40,275,primary,2022-11-26
40,96,authorized_signer,2022-11-26
41,313,primary,2020-02-18
42,315,primary,2016-04-12
43,199,primary,2022-07-15
43,215,joint,2022-07-15
44,251,primary,2019-09-29
45,100,primary,2017-02-05
46,228,primary,2021-04-19
47,87,primary,2015-12-05
48,138,primary,2021-05-05
49,280,primary,2024-03-26
50,179,primary,2016-02-24
51,302,primary,2019-12-04
52,31,primary,2024-08-27
53,264,primary,2020-12-20
54,360,primary,2016-07-09
55,251,primary,2017-10-19
56,207,primary,2022-02-03
57,397,primary,2018-02-13
57,376,joint,2018-02-13
58,109,primary,2022-02-13
59,350,primary,2018-08-15
60,81,primary,2015-07-08
61,82,primary,2015-01-03
62,27,primary,2016-01-18
63,245,primary,2018-06-05
63,40,joint,2018-06-05
64,68,primary,2020-10-28
65,196,primary,2017-07-26
66,85,primary,2022-03-12
67,45,primary,2023-02-07
68,142,primary,2023-06-10
68,331,joint,2023-06-10
69,155,primary,2021-09-27
70,123,primary,2021-10-21
71,163,primary,2016-04-06
72,395,primary,2024-08-26
73,147,primary,2021-08-02
74,143,primary,2020-08-14
75,391,primary,2015-11-20
76,126,primary,2022-08-21
77,7,primary,2016-04-20
77,363,joint,2016-04-20
77,71,joint,2016-04-20
78,138,primary,2020-11-12
79,296,primary,2023-08-26
80,396,primary,2020-07-25
80,53,joint,2020-07-25
80,294,joint,2020-07-25
81,197,primary,2015-01-11
82,128,primary,2024-08-13
83,115,primary,2018-08-03
83,265,joint,2018-08-03
84,189,primary,2024-11-01
85,398,primary,2021-04-28
86,278,primary,2021-02-16
86,178,joint,2021-02-16
87,215,primary,2023-07-06
88,191,primary,2016-08-06
89,223,primary,2015-12-14
90,163,primary,2017-08-27
91,231,primary,2017-08-14
91,239,authorized_signer,2017-08-14
92,81,primary,2021-01-04
92,352,authorized_signer,2021-01-04
93,128,primary,2022-10-25
93,183,authorized_signer,2022-10-25
94,384,primary,2022-08-05
95,114,primary,2016-01-23
96,39,primary,2024-03-27
97,63,primary,2017-03-20
98,219,primary,2015-07-27
99,126,primary,2017-05-29
100,330,primary,2020-08-05
101,184,primary,2017-10-17
102,306,primary,2023-10-06
102,113,joint,2023-10-06
103,82,primary,2015-08-28
104,113,primary,2022-05-14
105,358,primary,2018-12-24
106,253,primary,2015-04-26
107,170,primary,2016-12-20
108,76,primary,2024-01-17
108,301,joint,2024-01-17
109,203,primary,2024-06-29
110,250,primary,2018-10-10
111,302,primary,2016-12-14
112,360,primary,2019-03-30
112,294,authorized_signer,2019-03-30
113,290,primary,2015-05-13
114,46,primary,2016-07-30
115,355,primary,2022-07-07
116,212,primary,2017-11-17
117,116,primary,2018-12-09
118,88,primary,2015-10-29
118,193,joint,2015-10-29
119,16,primary,2021-02-18
120,284,primary,2016-11-06
121,252,primary,2021-01-21
122,50,primary,2019-01-17
123,251,primary,2016-11-30
124,135,primary,2016-01-09
125,343,primary,2017-12-14
125,177,authorized_signer,2017-12-14
126,352,primary,2017-07-20
127,18,primary,2021-06-03
128,86,primary,2020-10-17
129,305,primary,2016-05-31
130,267,primary,2023-02-26
131,302,primary,2023-10-27
131,299,joint,2023-10-27
132,336,primary,2023-09-29
133,20,primary,2021-10-30
134,156,primary,2022-09-29
135,381,primary,2024-06-14
136,380,primary,2018-01-08
137,70,primary,2024-09-22
138,128,primary,2024-11-10
139,64,primary,2015-07-27
140,177,primary,2017-09-17
141,110,primary,2023-05-26
142,400,primary,2022-04-05
142,393,joint,2022-04-05
143,364,primary,2022-04-05
144,320,primary,2019-10-02
145,312,primary,2016-02-24
146,336,primary,2022-09-04
147,308,primary,2018-05-08
148,208,primary,2018-08-02
149,274,primary,2015-05-25
150,50,primary,2022-07-14
150,242,authorized_signer,2022-07-14
150,66,joint,2022-07-14
151,191,primary,2022-05-04
152,37,primary,2018-04-19
153,71,primary,2020-08-11
154,399,primary,2019-08-04
155,397,primary,2018-09-24
156,207,primary,2023-07-29
157,388,primary,2019-04-20
158,177,primary,2017-02-19
159,234,primary,2016-02-25
160,385,primary,2021-09-08
161,259,primary,2024-02-08
161,87,joint,2024-02-08
162,25,primary,2022-04-18
162,339,joint,2022-04-18
163,106,primary,2015-07-17
164,359,primary,2022-01-25
165,102,primary,2024-04-25
165,312,joint,2024-04-25
166,281,primary,2024-04-28
166,255,authorized_signer,2024-04-28
166,107,authorized_signer,2024-04-28
167,400,primary,2015-02-22
168,26,primary,2023-02-11
169,49,primary,2024-10-20
170,319,primary,2015-02-09
171,198,primary,2016-01-16
172,82,primary,2023-12-21
172,54,authorized_signer,2023-12-21
173,351,primary,2023-12-31
173,373,joint,2023-12-31
174,348,primary,2016-04-07
175,359,primary,2021-06-19
176,286,primary,2019-11-08
176,314,joint,2019-11-08
177,124,primary,2016-10-04
178,294,primary,2015-07-26
179,212,primary,2024-08-09
179,19,joint,2024-08-09
180,336,primary,2023-11-18
181,308,primary,2018-10-28
182,325,primary,2022-05-15
183,368,primary,2021-02-21
184,98,primary,2019-08-04
185,231,primary,2016-03-17
186,222,primary,2021-08-10
187,375,primary,2020-06-01
188,215,primary,2016-02-29
189,212,primary,2023-07-20
189,309,authorized_signer,2023-07-20
190,108,primary,2021-02-21
191,356,primary,2018-04-05
192,346,primary,2022-12-19
193,75,primary,2018-03-17
193,28,joint,2018-03-17
194,152,primary,2023-05-31
195,381,primary,2015-05-13
196,196,primary,2019-05-12
196,199,authorized_signer,2019-05-12
197,400,primary,2018-07-04
198,280,primary,2024-04-22
199,89,primary,2017-03-15
199,377,joint,2017-03-15
200,364,primary,2019-10-22
201,252,primary,2016-09-21
202,267,primary,2021-03-03
203,170,primary,2016-10-14
204,5,primary,2017-06-13
205,165,primary,2018-11-18
206,261,primary,2019-04-30
207,396,primary,2015-06-29
207,276,joint,2015-06-29
207,274,joint,2015-06-29
208,380,primary,2022-01-22
209,170,primary,2022-04-02
210,133,primary,2015-10-28
211,369,primary,2020-01-22
211,317,joint,2020-01-22
212,149,primary,2021-07-26
213,339,primary,2018-05-19
214,325,primary,2016-10-02
215,285,primary,2022-08-06
216,384,primary,2015-06-21
217,130,primary,2018-11-09
218,282,primary,2017-01-12
219,344,primary,2022-07-14
220,157,primary,2016-02-14
221,114,primary,2016-09-16
222,229,primary,2022-03-09
223,276,primary,2020-06-17
224,298,primary,2023-03-24
225,397,primary,2023-08-17
226,47,primary,2019-05-27
227,388,primary,2020-08-18
228,248,primary,2020-01-02
229,185,primary,2017-06-15
230,141,primary,2020-02-06
231,335,primary,2017-12-14
232,177,primary,2020-10-17
233,144,primary,2024-12-12
234,369,primary,2017-02-04
235,66,primary,2022-07-28
236,93,primary,2016-10-21
237,44,primary,2021-09-20
238,299,primary,2021-10-20
238,393,joint,2021-10-20
239,194,primary,2020-09-23
239,198,joint,2020-09-23
240,244,primary,2017-04-08
240,315,joint,2017-04-08
241,1,primary,2020-08-23
242,118,primary,2022-04-13
243,357,primary,2023-11-09
244,279,primary,2019-10-09
245,193,primary,2017-02-13
246,275,primary,2022-09-18
247,248,primary,2019-02-06
248,71,primary,2021-04-09
249,261,primary,2016-05-02
249,206,authorized_signer,2016-05-02
250,47,primary,2021-11-20
250,75,authorized_signer,2021-11-20
251,206,primary,2015-12-28
252,225,primary,2020-11-04
253,358,primary,2024-07-15
