history_id,account_id,status,changed_at,changed_by_employee_id,reason
1,1,active,2018-06-17T09:00:00,47,account opened
2,2,active,2018-07-05T09:00:00,17,account opened
3,2,under_review,2019-05-25T09:00:00,48,review
4,3,active,2019-09-07T09:00:00,16,account opened
5,4,active,2017-11-20T09:00:00,30,account opened
6,4,frozen,2019-08-26T09:00:00,14,review
7,5,active,2015-08-29T09:00:00,4,account opened
8,6,active,2017-08-05T09:00:00,4,account opened
9,7,active,2022-05-24T09:00:00,34,account opened
10,7,frozen,2023-01-03T09:00:00,12,status update
11,8,active,2020-08-19T09:00:00,7,account opened
12,9,active,2017-02-25T09:00:00,6,account opened
13,9,under_review,2017-12-20T09:00:00,16,review
14,10,active,2017-09-23T09:00:00,42,account opened
15,11,active,2016-01-18T09:00:00,41,account opened
16,12,active,2022-03-26T09:00:00,7,account opened
17,13,active,2024-09-25T09:00:00,44,account opened
18,14,active,2015-05-15T09:00:00,14,account opened
19,15,active,2024-03-16T09:00:00,16,account opened
20,15,frozen,2025-03-12T09:00:00,45,review
21,16,active,2018-09-20T09:00:00,6,account opened
22,17,active,2019-11-26T09:00:00,39,account opened
23,18,active,2022-02-10T09:00:00,25,account opened
24,19,active,2019-04-06T09:00:00,6,account opened
25,20,active,2016-09-23T09:00:00,20,account opened
26,21,active,2016-06-26T09:00:00,7,account opened
27,21,active,2016-09-24T09:00:00,4,review
28,22,active,2023-10-19T09:00:00,6,account opened
29,23,active,2020-11-04T09:00:00,32,account opened
30,24,active,2020-06-06T09:00:00,32,account opened
31,25,active,2016-07-08T09:00:00,52,account opened
32,26,active,2024-02-23T09:00:00,39,account opened
33,27,active,2016-12-28T09:00:00,32,account opened
34,28,active,2018-02-22T09:00:00,38,account opened
35,29,active,2015-04-21T09:00:00,19,account opened
36,30,active,2022-07-19T09:00:00,43,account opened
37,30,under_review,2024-01-16T09:00:00,40,review
38,31,active,2020-12-28T09:00:00,51,account opened
39,32,active,2021-08-29T09:00:00,43,account opened
40,33,active,2015-07-01T09:00:00,22,account opened
41,34,active,2016-02-08T09:00:00,37,account opened
42,34,active,2016-04-20T09:00:00,38,review
43,35,active,2023-08-30T09:00:00,31,account opened
44,35,frozen,2025-02-25T09:00:00,32,review
45,36,active,2016-08-03T09:00:00,34,account opened
46,37,active,2023-02-05T09:00:00,8,account opened
47,38,active,2023-04-22T09:00:00,30,account opened
48,38,under_review,2025-05-18T09:00:00,34,review
49,39,active,2017-02-02T09:00:00,13,account opened
50,40,active,2022-11-26T09:00:00,37,account opened
51,41,active,2020-02-18T09:00:00,21,account opened
52,42,active,2016-04-12T09:00:00,46,account opened
53,43,active,2022-07-15T09:00:00,45,account opened
54,44,active,2019-09-29T09:00:00,12,account opened
55,45,active,2017-02-05T09:00:00,1,account opened
56,46,active,2021-04-19T09:00:00,27,account opened
57,47,active,2015-12-05T09:00:00,15,account opened
58,48,active,2021-05-05T09:00:00,8,account opened
59,49,active,2024-03-26T09:00:00,49,account opened
60,50,active,2016-02-24T09:00:00,3,account opened
61,51,active,2019-12-04T09:00:00,14,account opened
