account_id,account_type_id,branch_id,opened_by_employee_id,opened_date,closed_date,current_balance,available_balance,status
1,3,6,47,2018-06-17,,24612.5,24582.92,active
2,1,6,17,2018-07-05,,10674.34,10630.56,active
3,2,12,16,2019-09-07,,11115.94,10945.0,active
4,3,6,30,2017-11-20,,36039.68,35817.8,active
5,2,11,4,2015-08-29,,3253.69,3008.29,active
6,1,11,4,2017-08-05,,10545.34,10408.54,active
7,2,8,34,2022-05-24,,27358.0,27354.44,frozen
8,1,1,7,2020-08-19,,40211.47,39938.54,active
9,1,4,6,2017-02-25,,17399.28,17160.8,active
10,2,10,42,2017-09-23,,34044.1,33789.74,active
11,4,1,41,2016-01-18,,-4191.96,-4191.96,active
12,4,7,7,2022-03-26,,-1136.32,-1136.32,active
13,1,4,44,2024-09-25,,13190.3,12913.05,active
14,2,11,14,2015-05-15,,290.73,290.73,active
15,4,12,16,2024-03-16,,-6700.4,-6700.4,active
16,3,9,6,2018-09-20,,39420.15,39213.36,active
17,1,2,39,2019-11-26,,30061.02,29876.86,active
18,1,1,25,2022-02-10,,24275.47,24168.73,active
19,2,11,6,2019-04-06,,39801.79,39587.86,active
20,3,11,20,2016-09-23,,4880.82,4879.26,active
21,1,2,7,2016-06-26,,27627.74,27474.01,active
22,2,10,6,2023-10-19,,14238.29,14121.95,active
23,1,10,32,2020-11-04,,6511.42,6421.08,active
24,2,5,32,2020-06-06,,47183.23,46966.96,active
25,2,2,52,2016-07-08,,16276.97,16090.91,active
26,1,7,39,2024-02-23,,29516.84,29426.71,active
27,2,6,32,2016-12-28,,14218.13,14009.64,active
28,1,7,38,2018-02-22,,5251.34,5082.18,active
29,3,9,19,2015-04-21,,35272.54,35141.0,active
30,4,7,43,2022-07-19,,-6063.83,-6063.83,active
31,2,7,51,2020-12-28,,34431.3,34268.21,active
32,4,9,43,2021-08-29,,-1848.37,-1848.37,active
33,3,10,22,2015-07-01,,32160.55,31870.51,active
34,1,1,37,2016-02-08,,25699.29,25525.13,active
35,2,8,31,2023-08-30,,7112.62,6813.31,active
36,4,12,34,2016-08-03,,-1725.84,-1725.84,active
