branch_id,branch_name,city,state,region_manager_id
1,Millerport Branch,Loriside,NJ,4
2,Port Melanieland Branch,Markport,NY,1
3,North Victoria Branch,Lake Jennifer,KY,3
4,North Williamhaven Branch,Andrewfurt,MA,7
5,Reedmouth Branch,Michealhaven,OR,2
6,South Katherinechester Branch,Lake Kimberlyshire,NY,3
7,East Sarahfurt Branch,Donnamouth,VA,10
8,Douglasborough Branch,New Patrickfurt,IN,11
9,North Kevinberg Branch,South Ashley,MT,3
10,South Amy Branch,Veronicaborough,AL,13
11,East Micheleview Branch,Buchananbury,NH,14
12,Lake Trevor Branch,Lake Stevemouth,RI,15
