card_txn_id,card_id,merchant_id,amount,currency_code,txn_datetime,status,is_flagged
1,262,95,2151.42,GBP,2024-11-23T04:35:47,reversed,0
2,459,87,1919.73,USD,2025-07-10T09:46:59,approved,0
3,353,26,345.9,USD,2025-05-21T03:33:06,approved,0
4,13,107,1518.4,USD,2022-09-07T09:25:30,reversed,0
5,431,109,1641.06,QAR,2025-10-27T14:54:42,approved,0
6,326,3,556.05,QAR,2025-09-08T07:10:32,approved,0
7,244,62,871.53,EUR,2025-04-20T15:23:42,approved,0
8,410,14,1392.96,QAR,2022-10-31T00:18:29,approved,0
9,298,39,104.18,EUR,2025-09-07T19:28:02,declined,0
10,72,60,2647.51,USD,2022-01-19T05:22:32,approved,0
11,179,116,2119.26,USD,2022-05-09T05:41:09,approved,0
12,174,59,2146.12,GBP,2023-07-25T21:19:59,approved,0
13,331,62,1130.82,USD,2025-09-11T05:36:45,declined,0
14,270,34,390.01,USD,2025-04-04T11:37:39,approved,0
15,16,110,2199.17,USD,2025-09-24T03:31:59,approved,0
16,119,99,2426.05,GBP,2023-04-30T03:57:56,approved,0
17,387,54,2767.28,USD,2023-05-28T03:02:54,approved,0
18,192,78,1894.62,USD,2022-12-23T10:06:44,approved,0
19,327,74,1670.29,USD,2024-10-02T14:43:18,approved,0
20,223,105,1586.53,GBP,2022-06-26T18:01:40,declined,0
21,18,104,423.41,USD,2024-04-15T18:34:55,approved,0
22,374,117,2185.39,USD,2023-01-25T06:36:52,approved,0
23,317,116,1676.97,USD,2022-05-18T14:27:40,approved,0
24,41,17,2347.6,USD,2022-08-30T15:14:03,approved,0
25,115,106,2821.97,QAR,2023-05-30T12:45:22,approved,0
26,496,37,226.18,EUR,2024-11-26T19:32:19,approved,0
27,358,115,334.4,USD,2023-06-23T20:01:02,approved,0
28,172,114,2294.68,USD,2025-01-25T23:21:59,approved,0
29,32,31,1481.68,QAR,2025-02-28T19:44:53,approved,0
30,37,54,1795.25,EUR,2022-06-15T17:30:08,approved,0
31,19,64,1523.8,EUR,2024-06-02T15:19:50,approved,0
32,11,120,167.96,GBP,2023-02-06T17:38:55,approved,0
33,10,71,1447.56,USD,2024-02-12T22:08:27,approved,0
34,60,57,355.74,EUR,2024-01-24T11:12:21,approved,0
35,119,12,1766.68,USD,2025-01-03T18:02:51,approved,0
36,417,8,231.68,USD,2023-01-05T09:02:20,approved,0
37,126,38,390.89,USD,2025-09-08T03:42:04,approved,0
38,106,64,2116.36,QAR,2023-03-28T14:45:19,declined,0
39,150,112,1961.62,USD,2023-07-02T10:44:34,approved,0
40,462,53,2117.09,EUR,2023-07-27T02:13:58,approved,0
41,119,40,2226.24,USD,2024-02-02T23:52:50,approved,0
42,358,57,1950.42,USD,2022-08-22T00:31:53,approved,0
43,197,39,2481.88,USD,2023-07-26T19:24:31,approved,0
44,228,6,674.9,USD,2025-09-13T13:34:03,approved,0
45,391,45,2811.8,QAR,2023-11-20T08:51:48,approved,0
46,175,93,2488.06,USD,2024-05-25T23:59:47,approved,0
47,284,50,2857.52,QAR,2023-08-12T17:29:27,approved,0
48,266,34,489.32,USD,2023-05-03T04:58:00,approved,0
49,141,11,2996.42,GBP,2023-08-29T10:36:25,approved,0
50,138,85,753.04,EUR,2025-05-30T00:07:19,approved,0
51,136,109,538.0,USD,2024-06-19T00:29:02,reversed,0
