card_id,account_id,customer_id,card_type,issued_date,expiry_date,status
1,3,336,credit,2018-08-01,2022-08-01,expired
2,443,351,credit,2021-01-27,2025-01-27,expired
3,508,196,debit,2023-10-20,2027-10-20,active
4,49,280,credit,2022-09-17,2026-09-17,active
5,6,342,debit,2020-03-08,2024-03-08,expired
6,232,177,debit,2018-11-01,2022-11-01,expired
7,169,49,debit,2021-06-27,2025-06-27,active
8,29,36,credit,2022-11-05,2026-11-05,active
9,257,175,credit,2019-03-18,2023-03-18,expired
10,56,207,debit,2023-10-30,2027-10-28,active
11,450,327,debit,2023-01-03,2027-01-03,active
12,63,245,debit,2022-03-26,2026-03-26,active
13,131,302,credit,2022-12-16,2026-12-16,active
14,68,142,credit,2018-08-17,2022-08-17,expired
15,391,158,credit,2019-01-28,2023-01-28,expired
16,239,194,credit,2023-02-01,2027-02-01,active
17,104,113,credit,2018-04-17,2022-04-17,expired
18,198,280,debit,2019-02-25,2023-02-25,blocked
19,199,89,credit,2023-09-16,2027-09-16,active
20,493,158,debit,2020-02-01,2024-02-01,expired
21,62,27,credit,2021-06-30,2025-06-28,active
22,319,117,credit,2019-08-27,2023-08-27,expired
23,299,184,debit,2018-02-03,2022-02-03,expired
24,59,350,debit,2023-09-09,2027-09-09,active
25,433,242,debit,2020-03-11,2024-03-11,expired
26,71,163,credit,2020-02-15,2024-02-15,expired
27,340,327,credit,2024-11-28,2028-11-28,active
28,167,400,debit,2023-02-04,2027-02-04,active
29,508,92,debit,2018-01-16,2022-01-16,expired
30,478,229,credit,2020-09-06,2024-09-06,expired
31,385,359,debit,2022-06-28,2026-06-28,active
32,372,385,debit,2018-10-30,2022-10-28,expired
33,146,336,credit,2022-12-09,2026-12-09,active
34,45,100,debit,2020-03-26,2024-03-26,expired
35,225,397,debit,2019-12-15,2023-12-15,expired
36,183,368,credit,2018-03-30,2022-03-28,expired
37,104,113,debit,2019-07-17,2023-07-17,expired
38,347,267,credit,2021-06-03,2025-06-03,active
39,382,359,credit,2023-11-29,2027-11-28,active
40,67,45,debit,2019-08-15,2023-08-15,expired
41,195,381,credit,2023-12-22,2027-12-22,active
42,326,226,debit,2020-09-28,2024-09-28,expired
43,549,88,debit,2019-09-01,2023-09-01,expired
44,287,314,credit,2023-09-13,2027-09-13,active
45,215,285,debit,2023-04-12,2027-04-12,active
46,172,54,credit,2023-09-17,2027-09-17,active
47,184,98,credit,2022-03-12,2026-03-12,active
48,507,251,debit,2021-01-04,2025-01-04,expired
49,213,339,debit,2020-04-11,2024-04-11,expired
50,406,294,credit,2021-06-07,2025-06-07,active
51,161,87,debit,2020-11-08,2024-11-08,expired
52,87,215,debit,2022-12-26,2026-12-26,active
53,43,215,credit,2023-09-30,2027-09-28,active
54,462,28,credit,2022-11-07,2026-11-07,active
55,325,13,credit,2022-04-16,2026-04-16,blocked
56,240,315,debit,2018-11-07,2022-11-07,expired
57,302,376,debit,2021-02-06,2025-02-06,expired
58,122,50,debit,2022-01-15,2026-01-15,blocked
59,342,258,credit,2021-09-10,2025-09-10,active
60,196,196,debit,2024-02-03,2028-02-03,active
61,307,381,credit,2021-11-20,2025-11-20,active
62,416,161,debit,2023-04-18,2027-04-18,active
63,408,338,debit,2020-07-18,2024-07-18,expired
64,486,75,credit,2023-10-14,2027-10-14,active
65,473,243,debit,2018-12-18,2022-12-18,expired
66,440,211,debit,2020-05-08,2024-05-08,expired
