rate_id,base_currency,quote_currency,rate,rate_date
1,EUR,USD,1.0863,2022-01-01
2,GBP,USD,1.2806,2022-01-01
3,QAR,USD,0.2805,2022-01-01
4,AED,USD,0.2746,2022-01-01
5,EUR,USD,1.0581,2022-01-31
6,GBP,USD,1.2998,2022-01-31
7,QAR,USD,0.2591,2022-01-31
8,AED,USD,0.2533,2022-01-31
9,EUR,USD,1.0889,2022-03-02
10,GBP,USD,1.2922,2022-03-02
11,QAR,USD,0.3045,2022-03-02
12,AED,USD,0.289,2022-03-02
13,EUR,USD,1.0784,2022-04-01
14,GBP,USD,1.2471,2022-04-01
15,QAR,USD,0.2872,2022-04-01
16,AED,USD,0.2839,2022-04-01
17,EUR,USD,1.0974,2022-05-01
18,GBP,USD,1.2494,2022-05-01
19,QAR,USD,0.2504,2022-05-01
20,AED,USD,0.2429,2022-05-01
21,EUR,USD,1.0544,2022-05-31
22,GBP,USD,1.2745,2022-05-31
23,QAR,USD,0.2845,2022-05-31
24,AED,USD,0.2545,2022-05-31
25,EUR,USD,1.0669,2022-06-30
26,GBP,USD,1.2554,2022-06-30
27,QAR,USD,0.2992,2022-06-30
28,AED,USD,0.2827,2022-06-30
29,EUR,USD,1.1069,2022-07-30
30,GBP,USD,1.2925,2022-07-30
31,QAR,USD,0.2696,2022-07-30
32,AED,USD,0.2872,2022-07-30
33,EUR,USD,1.0783,2022-08-29
34,GBP,USD,1.2892,2022-08-29
35,QAR,USD,0.2536,2022-08-29
36,AED,USD,0.2966,2022-08-29
37,EUR,USD,1.07,2022-09-28
38,GBP,USD,1.2946,2022-09-28
39,QAR,USD,0.2481,2022-09-28
40,AED,USD,0.2982,2022-09-28
41,EUR,USD,1.0727,2022-10-28
42,GBP,USD,1.2678,2022-10-28
43,QAR,USD,0.2486,2022-10-28
44,AED,USD,0.2972,2022-10-28
45,EUR,USD,1.0817,2022-11-27
46,GBP,USD,1.2723,2022-11-27
47,QAR,USD,0.304,2022-11-27
48,AED,USD,0.2947,2022-11-27
49,EUR,USD,1.0539,2022-12-27
50,GBP,USD,1.2865,2022-12-27
51,QAR,USD,0.2463,2022-12-27
