flag_id,entity_type,entity_id,flag_reason,flagged_at,resolved_at,resolution_status
1,card_transaction,99,velocity_check,2024-04-27T18:35:46,,open
2,card_transaction,118,unusual_location,2022-10-07T02:33:45,2022-10-15T02:33:45,false_positive
3,card_transaction,124,merchant_risk,2025-06-17T07:58:30,,open
4,card_transaction,131,amount_spike,2022-01-24T02:28:23,2022-01-27T02:28:23,confirmed_fraud
5,card_transaction,142,amount_spike,2022-06-27T03:20:37,2022-06-29T03:20:37,confirmed_fraud
6,card_transaction,180,velocity_check,2025-10-20T21:17:00,2025-10-29T21:17:00,confirmed_fraud
7,card_transaction,181,unusual_location,2025-05-13T07:20:06,2025-05-19T07:20:06,false_positive
8,card_transaction,240,amount_spike,2025-12-13T10:16:38,2025-12-18T10:16:38,confirmed_fraud
9,card_transaction,261,amount_spike,2024-02-05T04:39:20,,open
10,card_transaction,307,merchant_risk,2023-03-19T20:00:18,2023-03-25T20:00:18,false_positive
11,card_transaction,388,unusual_location,2022-06-18T00:05:45,2022-06-23T00:05:45,confirmed_fraud
12,card_transaction,452,velocity_check,2024-10-24T12:02:33,2024-11-02T12:02:33,confirmed_fraud
13,card_transaction,464,merchant_risk,2025-12-14T13:13:39,2025-12-21T13:13:39,false_positive
14,card_transaction,476,unusual_location,2022-08-20T17:42:17,2022-08-27T17:42:17,false_positive
15,card_transaction,508,merchant_risk,2023-04-19T03:38:56,2023-04-27T03:38:56,confirmed_fraud
16,card_transaction,531,amount_spike,2022-02-22T13:13:40,2022-02-25T13:13:40,confirmed_fraud
17,card_transaction,574,amount_spike,2022-06-14T18:41:15,,open
18,card_transaction,670,velocity_check,2022-01-18T18:58:11,2022-01-25T18:58:11,false_positive
19,card_transaction,675,merchant_risk,2023-04-21T04:33:30,2023-04-29T04:33:30,confirmed_fraud
20,card_transaction,692,unusual_location,2023-05-25T06:21:36,,open
21,card_transaction,704,velocity_check,2022-03-03T19:30:48,2022-03-06T19:30:48,false_positive
22,card_transaction,715,merchant_risk,2022-12-04T09:06:05,2022-12-05T09:06:05,confirmed_fraud
23,card_transaction,728,velocity_check,2022-06-28T02:43:55,2022-07-04T02:43:55,false_positive
24,card_transaction,908,amount_spike,2022-12-12T00:07:02,2022-12-22T00:07:02,confirmed_fraud
25,card_transaction,914,merchant_risk,2022-03-13T13:12:46,2022-03-20T13:12:46,confirmed_fraud
26,card_transaction,938,amount_spike,2022-05-01T05:07:36,2022-05-06T05:07:36,false_positive
27,card_transaction,964,velocity_check,2025-10-21T19:13:19,2025-10-26T19:13:19,confirmed_fraud
28,card_transaction,1069,amount_spike,2024-07-24T16:30:00,2024-07-27T16:30:00,false_positive
29,card_transaction,1083,amount_spike,2023-07-09T00:15:10,2023-07-13T00:15:10,confirmed_fraud
30,card_transaction,1101,velocity_check,2024-04-03T04:06:13,2024-04-12T04:06:13,false_positive
31,card_transaction,1183,unusual_location,2023-01-01T20:54:11,2023-01-06T20:54:11,false_positive
32,card_transaction,1199,merchant_risk,2023-12-24T18:30:34,2024-01-03T18:30:34,false_positive
33,card_transaction,1245,velocity_check,2023-05-30T21:14:45,,open
34,card_transaction,1266,unusual_location,2024-07-03T16:56:11,2024-07-05T16:56:11,confirmed_fraud
35,card_transaction,1280,merchant_risk,2024-04-07T10:15:37,,open
36,card_transaction,1281,amount_spike,2022-07-05T15:16:07,2022-07-07T15:16:07,false_positive
37,card_transaction,1300,velocity_check,2025-07-09T09:04:22,,open
38,card_transaction,1315,velocity_check,2025-02-02T20:33:09,,open
39,card_transaction,1332,merchant_risk,2022-08-06T16:11:51,,open
40,card_transaction,1344,amount_spike,2023-11-07T16:19:35,,open
41,card_transaction,1349,unusual_location,2025-05-11T11:10:14,2025-05-18T11:10:14,false_positive
42,card_transaction,1472,merchant_risk,2024-12-05T11:52:56,,open
43,card_transaction,1532,merchant_risk,2022-03-27T18:25:15,2022-04-04T18:25:15,confirmed_fraud
44,card_transaction,1533,velocity_check,2022-06-30T09:40:27,,open
45,card_transaction,1543,merchant_risk,2022-10-14T18:34:27,2022-10-18T18:34:27,confirmed_fraud
46,card_transaction,1593,unusual_location,2024-11-15T21:39:30,,open
47,card_transaction,1601,unusual_location,2025-11-17T19:19:32,2025-11-20T19:19:32,confirmed_fraud
48,card_transaction,1639,merchant_risk,2023-06-25T21:30:36,2023-07-02T21:30:36,false_positive
49,card_transaction,1669,velocity_check,2022-05-11T22:55:44,,open
50,card_transaction,1700,merchant_risk,2023-02-09T19:29:05,2023-02-19T19:29:05,confirmed_fraud
51,card_transaction,1701,amount_spike,2024-08-24T00:10:49,,open
52,card_transaction,1734,merchant_risk,2024-04-10T11:01:16,2024-04-17T11:01:16,confirmed_fraud
53,card_transaction,1753,unusual_location,2025-01-22T02:11:36,2025-01-23T02:11:36,false_positive
54,card_transaction,1765,velocity_check,2022-10-14T15:24:14,2022-10-20T15:24:14,confirmed_fraud
55,card_transaction,1804,merchant_risk,2024-03-21T07:25:49,,open
56,card_transaction,1833,velocity_check,2024-03-10T22:00:49,,open
57,card_transaction,1879,unusual_location,2022-07-29T19:56:09,2022-07-31T19:56:09,false_positive
58,card_transaction,1880,merchant_risk,2024-10-08T03:10:36,,open
59,card_transaction,1891,amount_spike,2025-09-21T11:30:23,,open
60,card_transaction,1936,unusual_location,2025-12-09T05:15:47,,open
61,card_transaction,1937,amount_spike,2024-09-23T05:30:11,,open
62,card_transaction,1980,unusual_location,2025-06-28T23:12:59,2025-07-08T23:12:59,confirmed_fraud
63,card_transaction,2161,amount_spike,2024-08-11T19:09:47,2024-08-14T19:09:47,false_positive
64,card_transaction,2171,merchant_risk,2022-08-21T19:36:47,2022-08-24T19:36:47,false_positive
65,card_transaction,2185,amount_spike,2024-10-20T11:55:21,2024-10-29T11:55:21,false_positive
66,card_transaction,2192,velocity_check,2024-02-19T21:54:22,,open
67,card_transaction,2234,unusual_location,2022-04-08T10:17:59,2022-04-15T10:17:59,false_positive
68,card_transaction,2245,unusual_location,2024-08-11T09:49:15,,open
69,card_transaction,2309,amount_spike,2025-09-15T18:29:33,2025-09-19T18:29:33,false_positive
70,card_transaction,2350,merchant_risk,2022-05-16T17:54:29,,open
71,card_transaction,2373,merchant_risk,2023-11-03T20:21:05,2023-11-05T20:21:05,confirmed_fraud
72,card_transaction,2383,amount_spike,2025-04-15T07:18:06,2025-04-21T07:18:06,confirmed_fraud
73,card_transaction,2432,amount_spike,2025-09-15T19:27:56,2025-09-25T19:27:56,confirmed_fraud
74,card_transaction,2521,velocity_check,2022-04-09T07:55:15,2022-04-10T07:55:15,false_positive
75,card_transaction,2548,unusual_location,2025-12-28T23:04:58,2025-12-31T23:04:58,false_positive
76,card_transaction,2550,merchant_risk,2022-08-18T11:46:13,2022-08-21T11:46:13,false_positive
77,card_transaction,2556,amount_spike,2022-05-04T19:25:55,2022-05-14T19:25:55,false_positive
78,card_transaction,2625,velocity_check,2024-08-24T12:44:45,2024-08-26T12:44:45,false_positive
79,card_transaction,2637,merchant_risk,2025-10-26T23:46:01,,open
80,card_transaction,2640,unusual_location,2024-01-05T21:39:05,2024-01-11T21:39:05,false_positive
81,card_transaction,2746,amount_spike,2025-02-16T23:05:30,,open
82,card_transaction,2773,velocity_check,2023-04-11T05:39:16,2023-04-19T05:39:16,confirmed_fraud
83,card_transaction,2776,amount_spike,2022-03-30T18:58:17,2022-04-01T18:58:17,confirmed_fraud
84,card_transaction,2786,amount_spike,2024-08-28T13:37:13,,open
85,card_transaction,2805,amount_spike,2023-01-05T12:29:13,2023-01-15T12:29:13,false_positive
86,card_transaction,2806,unusual_location,2023-03-18T22:35:58,2023-03-27T22:35:58,confirmed_fraud
87,card_transaction,2833,velocity_check,2022-01-16T17:51:47,2022-01-18T17:51:47,confirmed_fraud
88,card_transaction,2901,unusual_location,2025-08-22T06:37:17,,open
89,card_transaction,3013,velocity_check,2022-03-22T22:49:08,2022-03-29T22:49:08,false_positive
90,card_transaction,3070,merchant_risk,2024-12-12T11:26:34,2024-12-18T11:26:34,confirmed_fraud
91,card_transaction,3089,unusual_location,2022-10-29T17:15:59,2022-11-02T17:15:59,confirmed_fraud
92,card_transaction,3093,velocity_check,2024-09-17T09:04:09,,open
93,card_transaction,3197,amount_spike,2025-03-26T22:44:00,2025-03-31T22:44:00,confirmed_fraud
94,card_transaction,3207,merchant_risk,2023-03-18T14:56:24,2023-03-28T14:56:24,false_positive
95,card_transaction,3223,amount_spike,2023-06-07T06:28:47,,open
96,card_transaction,3226,merchant_risk,2023-11-25T08:17:36,2023-12-02T08:17:36,confirmed_fraud
97,card_transaction,3252,amount_spike,2025-07-25T08:58:17,,open
98,card_transaction,3255,unusual_location,2022-06-08T13:28:05,,open
99,card_transaction,3280,velocity_check,2025-09-24T20:21:17,,open
100,card_transaction,3297,amount_spike,2022-02-05T15:08:51,2022-02-07T15:08:51,confirmed_fraud
101,card_transaction,3310,merchant_risk,2022-04-04T02:08:58,,open
102,card_transaction,3312,velocity_check,2022-08-06T01:06:14,,open
103,card_transaction,3328,amount_spike,2022-01-11T03:50:09,2022-01-13T03:50:09,confirmed_fraud
104,card_transaction,3360,unusual_location,2024-08-02T14:06:37,,open
105,card_transaction,3362,unusual_location,2023-05-16T23:25:16,2023-05-21T23:25:16,false_positive
106,card_transaction,3366,unusual_location,2022-03-09T12:20:33,2022-03-17T12:20:33,confirmed_fraud
107,card_transaction,3367,amount_spike,2023-10-11T03:50:29,,open
108,card_transaction,3420,velocity_check,2023-12-23T08:48:53,2023-12-31T08:48:53,confirmed_fraud
109,card_transaction,3580,unusual_location,2023-11-22T06:56:25,2023-11-24T06:56:25,confirmed_fraud
110,card_transaction,3600,unusual_location,2025-08-25T18:20:33,,open
111,card_transaction,3605,merchant_risk,2024-10-25T05:39:59,2024-10-26T05:39:59,false_positive
112,card_transaction,3704,velocity_check,2023-07-29T07:37:01,,open
113,card_transaction,3790,velocity_check,2023-04-27T14:47:02,,open
114,card_transaction,3811,merchant_risk,2025-01-01T21:22:10,,open
115,card_transaction,3815,amount_spike,2022-02-16T16:15:06,2022-02-26T16:15:06,confirmed_fraud
116,card_transaction,3851,unusual_location,2023-03-20T09:19:52,2023-03-25T09:19:52,confirmed_fraud
117,card_transaction,3898,velocity_check,2023-10-24T15:01:50,2023-10-30T15:01:50,confirmed_fraud
118,card_transaction,3899,unusual_location,2022-08-18T01:47:34,2022-08-25T01:47:34,false_positive
119,card_transaction,3987,amount_spike,2025-10-09T11:05:05,2025-10-18T11:05:05,false_positive
120,card_transaction,3991,merchant_risk,2022-07-23T10:59:17,2022-07-31T10:59:17,false_positive
121,card_transaction,4010,unusual_location,2023-02-19T15:27:21,,open
122,card_transaction,4015,velocity_check,2022-12-07T14:51:09,,open
123,card_transaction,4035,merchant_risk,2022-04-23T16:17:15,2022-04-26T16:17:15,false_positive
124,card_transaction,4085,velocity_check,2025-09-22T15:26:29,2025-09-28T15:26:29,confirmed_fraud
125,card_transaction,4114,amount_spike,2024-03-22T10:35:56,,open
126,card_transaction,4123,amount_spike,2023-11-24T15:13:14,2023-11-28T15:13:14,false_positive
127,card_transaction,4136,velocity_check,2025-02-18T18:31:50,2025-02-22T18:31:50,false_positive
128,card_transaction,4159,merchant_risk,2022-04-21T02:35:57,,open
129,card_transaction,4173,unusual_location,2023-08-12T18:24:59,2023-08-16T18:24:59,false_positive
130,card_transaction,4183,velocity_check,2022-01-16T01:21:00,2022-01-25T01:21:00,confirmed_fraud
131,card_transaction,4190,velocity_check,2025-11-17T21:16:33,2025-11-23T21:16:33,false_positive
132,card_transaction,4208,velocity_check,2022-03-19T18:08:17,2022-03-21T18:08:17,confirmed_fraud
133,card_transaction,4246,merchant_risk,2025-05-11T14:44:07,,open
134,card_transaction,4247,amount_spike,2024-07-30T13:57:46,2024-08-05T13:57:46,confirmed_fraud
135,card_transaction,4277,velocity_check,2025-08-03T13:09:21,,open
136,card_transaction,4318,amount_spike,2022-12-26T12:14:43,,open
137,card_transaction,4340,merchant_risk,2022-07-15T06:31:47,2022-07-25T06:31:47,false_positive
138,card_transaction,4367,unusual_location,2022-11-14T16:58:48,,open
139,card_transaction,4392,merchant_risk,2023-11-14T22:08:42,2023-11-23T22:08:42,confirmed_fraud
140,card_transaction,4450,velocity_check,2024-01-14T07:24:04,2024-01-20T07:24:04,false_positive
141,card_transaction,4465,merchant_risk,2025-12-02T03:12:00,2025-12-08T03:12:00,false_positive
142,card_transaction,4483,merchant_risk,2024-09-15T15:45:37,,open
143,card_transaction,4551,velocity_check,2023-04-03T11:22:42,2023-04-09T11:22:42,confirmed_fraud
144,card_transaction,4660,amount_spike,2022-05-05T18:17:54,,open
145,card_transaction,4807,amount_spike,2023-05-09T15:36:43,,open
146,card_transaction,4825,unusual_location,2024-05-24T13:47:13,,open
147,card_transaction,4834,velocity_check,2023-11-22T22:06:23,,open
148,card_transaction,4861,amount_spike,2025-08-14T18:31:27,2025-08-15T18:31:27,confirmed_fraud
149,card_transaction,4898,unusual_location,2023-03-07T18:23:10,2023-03-14T18:23:10,false_positive
150,card_transaction,4915,merchant_risk,2022-04-10T11:23:17,2022-04-14T11:23:17,false_positive
151,card_transaction,4957,velocity_check,2022-01-15T05:03:53,2022-01-23T05:03:53,confirmed_fraud
152,card_transaction,4970,merchant_risk,2025-11-15T01:39:51,2025-11-19T01:39:51,confirmed_fraud
153,card_transaction,5016,unusual_location,2023-02-18T05:27:05,,open
154,card_transaction,5036,amount_spike,2023-10-16T11:50:49,2023-10-21T11:50:49,confirmed_fraud
155,card_transaction,5049,velocity_check,2023-11-15T18:12:12,2023-11-24T18:12:12,confirmed_fraud
156,card_transaction,5057,velocity_check,2025-08-04T19:16:55,,open
157,card_transaction,5071,merchant_risk,2025-09-16T01:36:33,2025-09-20T01:36:33,confirmed_fraud
158,card_transaction,5241,amount_spike,2023-04-28T11:05:38,2023-05-01T11:05:38,confirmed_fraud
159,card_transaction,5416,velocity_check,2025-10-02T11:10:14,,open
160,card_transaction,5432,velocity_check,2022-11-13T22:19:11,,open
161,card_transaction,5443,merchant_risk,2023-01-11T23:58:12,2023-01-14T23:58:12,confirmed_fraud
162,card_transaction,5448,velocity_check,2023-07-26T03:45:32,2023-07-29T03:45:32,confirmed_fraud
163,card_transaction,5523,amount_spike,2023-10-10T19:22:58,2023-10-17T19:22:58,confirmed_fraud
164,card_transaction,5527,merchant_risk,2023-04-28T23:16:48,2023-05-03T23:16:48,confirmed_fraud
165,card_transaction,5549,velocity_check,2025-01-19T17:47:20,2025-01-28T17:47:20,confirmed_fraud
166,card_transaction,5557,merchant_risk,2025-04-04T13:37:54,2025-04-12T13:37:54,false_positive
167,card_transaction,5567,unusual_location,2023-12-07T07:43:51,,open
168,card_transaction,5588,amount_spike,2025-12-04T22:45:03,2025-12-06T22:45:03,false_positive
169,card_transaction,5602,unusual_location,2022-05-13T04:36:54,2022-05-19T04:36:54,false_positive
170,card_transaction,5603,merchant_risk,2023-06-27T16:44:56,2023-06-30T16:44:56,confirmed_fraud
171,card_transaction,5663,merchant_risk,2025-02-09T02:33:39,,open
172,card_transaction,5740,amount_spike,2022-09-04T23:45:20,,open
173,card_transaction,5810,velocity_check,2024-01-24T01:28:51,2024-01-28T01:28:51,confirmed_fraud
174,card_transaction,5845,unusual_location,2025-07-25T06:03:19,2025-08-02T06:03:19,confirmed_fraud
175,card_transaction,5871,amount_spike,2022-08-03T16:23:35,2022-08-10T16:23:35,false_positive
176,card_transaction,5899,amount_spike,2024-10-05T19:14:59,2024-10-08T19:14:59,confirmed_fraud
177,card_transaction,5925,amount_spike,2025-02-13T19:29:17,2025-02-20T19:29:17,confirmed_fraud
178,card_transaction,5950,merchant_risk,2025-02-02T11:20:34,,open
179,card_transaction,6000,merchant_risk,2025-09-08T12:54:10,,open
180,transaction,5291,amount_spike,2023-02-06T21:11:51,,open
181,transaction,4734,duplicate_entry,2025-07-14T12:30:03,,open
182,transaction,4477,account_takeover_suspected,2024-05-10T06:34:25,2024-05-17T06:34:25,false_positive
183,transaction,6271,amount_spike,2025-04-23T06:10:10,,open
184,transaction,8032,duplicate_entry,2025-12-19T04:22:33,,open
185,transaction,6630,amount_spike,2022-04-19T10:27:26,2022-04-29T10:27:26,confirmed_fraud
186,transaction,4136,account_takeover_suspected,2024-03-28T00:17:20,2024-04-02T00:17:20,confirmed_fraud
187,transaction,8097,amount_spike,2022-06-29T21:28:43,2022-07-06T21:28:43,false_positive
188,transaction,6898,account_takeover_suspected,2024-04-07T21:21:28,,open
189,transaction,210,account_takeover_suspected,2023-05-22T05:08:19,2023-05-27T05:08:19,false_positive
190,transaction,2924,duplicate_entry,2025-08-11T17:06:17,,open
191,transaction,7138,account_takeover_suspected,2022-04-29T21:18:55,2022-05-01T21:18:55,confirmed_fraud
