rate_id,applies_to_type,applies_to_id,rate_pct,effective_from,effective_to
1,account_type,2,0.722,2018-01-01,2019-01-26
2,account_type,2,0.747,2019-01-26,2020-01-18
3,account_type,2,0.625,2020-01-18,2020-06-23
4,account_type,2,0.357,2020-06-23,2021-06-10
5,account_type,2,0.489,2021-06-10,2022-02-04
6,account_type,2,0.239,2022-02-04,2022-10-06
7,account_type,2,-0.021,2022-10-06,2023-03-30
8,account_type,2,-0.168,2023-03-30,2024-03-08
9,account_type,2,-0.394,2024-03-08,2024-12-21
10,account_type,2,-0.605,2024-12-21,
11,account_type,3,0.788,2018-01-01,2018-10-14
12,account_type,3,0.933,2018-10-14,2019-06-05
13,account_type,3,1.231,2019-06-05,2020-02-08
14,account_type,3,1.553,2020-02-08,2020-09-16
15,account_type,3,1.354,2020-09-16,2021-06-02
16,account_type,3,1.469,2021-06-02,2022-02-25
17,account_type,3,1.396,2022-02-25,2023-01-15
18,account_type,3,1.618,2023-01-15,2023-10-14
19,account_type,3,1.917,2023-10-14,2024-08-04
20,account_type,3,1.889,2024-08-04,2025-05-29
21,account_type,3,1.81,2025-05-29,
22,loan,2,8.168,2019-12-24,
23,loan,5,6.133,2017-07-10,
24,loan,6,5.978,2017-07-23,
25,loan,7,6.332,2024-12-03,
26,loan,8,7.664,2024-03-23,
27,loan,9,6.923,2021-03-24,
28,loan,10,7.667,2021-03-17,
29,loan,13,8.749,2017-12-17,
30,loan,14,5.453,2020-10-05,
31,loan,16,4.914,2018-04-15,
32,loan,19,5.993,2019-07-14,
33,loan,20,6.178,2024-07-14,
34,loan,23,8.511,2019-03-13,
35,loan,24,7.466,2023-12-05,
36,loan,27,3.592,2019-04-05,
37,loan,28,9.451,2018-01-19,
38,loan,29,8.794,2022-03-31,
39,loan,30,6.586,2021-07-09,
40,loan,33,4.61,2023-11-14,
41,loan,35,7.335,2018-03-29,
42,loan,37,8.743,2024-08-28,
43,loan,40,8.374,2018-02-01,
44,loan,41,3.368,2023-08-28,
45,loan,42,4.638,2018-08-29,
46,loan,43,8.374,2023-08-19,
47,loan,44,6.564,2023-11-27,
48,loan,45,6.044,2024-11-04,
49,loan,47,7.557,2016-02-27,
50,loan,50,6.465,2024-05-19,
51,loan,51,3.671,2019-05-14,
52,loan,52,6.378,2020-11-14,
53,loan,53,8.125,2020-12-14,
54,loan,56,7.636,2019-11-07,
55,loan,59,8.776,2024-05-24,
56,loan,60,5.027,2024-12-11,
57,loan,61,6.188,2022-02-11,
58,loan,63,8.799,2018-04-13,
59,loan,64,3.842,2023-10-22,
60,loan,65,6.833,2022-05-30,
61,loan,66,3.411,2019-12-15,
62,loan,67,3.513,2021-11-15,
63,loan,68,3.618,2020-03-08,
64,loan,69,9.058,2021-05-12,
65,loan,70,4.868,2024-10-29,
66,loan,71,3.937,2017-11-30,
67,loan,72,8.291,2017-10-01,
68,loan,73,4.415,2016-05-07,
69,loan,75,6.726,2016-02-12,
70,loan,76,8.474,2022-05-07,
71,loan,78,8.781,2022-04-14,
72,loan,79,6.202,2021-12-06,
73,loan,81,7.568,2018-03-06,
74,loan,83,5.844,2019-12-12,
75,loan,84,5.718,2022-04-30,
76,loan,85,4.999,2017-06-10,
77,loan,86,8.388,2016-11-20,
78,loan,87,5.795,2016-03-01,
79,loan,88,6.313,2016-06-18,
80,loan,89,9.098,2017-01-08,
81,loan,90,7.507,2018-04-04,
82,loan,91,7.682,2020-05-18,
83,loan,92,7.698,2019-05-02,
84,loan,94,6.225,2019-08-09,
85,loan,96,7.786,2017-07-13,
86,loan,98,3.13,2017-06-05,
87,loan,102,7.917,2022-03-29,
88,loan,103,5.892,2023-11-13,
89,loan,104,3.306,2022-09-06,
90,loan,105,9.008,2022-12-05,
91,loan,106,9.08,2021-06-03,
92,loan,109,7.498,2019-03-17,
93,loan,112,3.539,2022-08-14,
94,loan,114,4.485,2023-11-14,
95,loan,115,4.198,2019-07-24,
96,loan,117,9.32,2018-06-24,
97,loan,120,4.675,2022-12-06,
98,loan,121,5.778,2021-10-09,
99,loan,122,6.481,2018-09-05,
100,loan,124,9.117,2022-04-27,
101,loan,125,4.433,2019-10-03,
102,loan,128,5.977,2018-06-11,
103,loan,129,3.961,2020-03-15,
104,loan,130,3.751,2023-01-12,
105,loan,132,3.595,2024-05-13,
106,loan,133,3.794,2021-10-04,
107,loan,134,8.867,2019-01-14,
108,loan,135,7.059,2019-06-03,
109,loan,138,6.905,2023-08-10,
110,loan,139,6.112,2017-03-08,
111,loan,141,5.634,2016-11-10,
112,loan,142,4.576,2022-03-09,
113,loan,143,6.987,2024-09-19,
114,loan,144,9.468,2017-08-21,
115,loan,146,5.678,2021-11-05,
116,loan,150,5.521,2021-01-28,
117,loan,151,6.824,2021-01-10,
118,loan,152,3.74,2021-08-17,
119,loan,153,8.166,2024-09-28,
120,loan,154,7.952,2023-04-04,
121,loan,155,5.006,2020-02-11,
122,loan,156,7.237,2024-05-29,
123,loan,159,7.879,2021-07-20,
124,loan,160,4.387,2018-10-31,
125,loan,161,3.429,2023-01-28,
126,loan,162,5.47,2024-08-22,
127,loan,163,8.085,2021-01-11,
128,loan,168,7.082,2024-05-01,
129,loan,169,7.929,2023-01-01,
130,loan,170,8.86,2024-07-14,
131,loan,171,6.057,2020-11-02,
132,loan,172,3.767,2018-06-27,
133,loan,173,8.119,2023-05-09,
134,loan,174,4.115,2016-09-30,
135,loan,175,7.201,2017-01-08,
136,loan,176,3.7,2016-05-19,
137,loan,177,6.313,2022-02-23,
