payment_id,loan_id,due_date,paid_date,amount_due,amount_paid,principal_component,interest_component,late_fee,status
1,1,2019-02-15,2019-02-15,1762.5,1762.5,973.86,788.64,0.0,on_time
2,1,2019-03-17,2019-03-25,1762.5,1762.5,871.76,890.74,31.97,late
3,1,2019-04-16,2019-04-16,1762.5,1762.5,943.99,818.51,0.0,paid
4,1,2019-05-16,2019-05-27,1762.5,1762.5,1189.4,573.1,74.9,late
5,1,2019-06-15,2019-06-15,1762.5,1762.5,964.97,797.53,0.0,on_time
6,2,2020-01-23,2020-01-23,69.18,69.18,33.31,35.87,0.0,paid
7,2,2020-02-22,2020-02-22,69.18,69.18,35.52,33.66,0.0,on_time
8,2,2020-03-23,2020-03-23,69.18,69.18,40.36,28.82,0.0,paid
9,2,2020-04-22,2020-05-12,69.18,69.18,50.77,18.41,71.04,late
10,2,2020-05-22,2020-05-22,69.18,69.18,34.77,34.41,0.0,paid
11,2,2020-06-21,2020-06-21,69.18,69.18,31.4,37.78,0.0,on_time
12,2,2020-07-21,2020-07-21,69.18,69.18,49.43,19.75,0.0,paid
13,2,2020-08-20,2020-08-20,69.18,69.18,53.16,16.02,0.0,on_time
14,2,2020-09-19,2020-09-19,69.18,69.18,31.61,37.57,0.0,paid
15,2,2020-10-19,2020-11-05,69.18,69.18,37.94,31.24,38.85,late
16,2,2020-11-18,2020-11-18,69.18,69.18,53.95,15.23,0.0,paid
17,3,2017-08-09,2017-08-21,538.19,538.19,428.84,109.35,17.5,late
18,3,2017-09-08,2017-09-24,538.19,538.19,278.84,259.35,56.52,late
19,3,2017-10-08,2017-10-15,538.19,538.19,408.72,129.47,16.58,late
20,3,2017-11-07,2017-11-07,538.19,538.19,394.93,143.26,0.0,paid
21,3,2017-12-07,2017-12-07,538.19,538.19,218.94,319.25,0.0,on_time
22,3,2018-01-06,2018-01-06,538.19,538.19,334.19,204.0,0.0,on_time
23,3,2018-02-05,,538.19,,,,38.55,missed
24,3,2018-03-07,2018-03-07,538.19,538.19,342.33,195.86,0.0,on_time
25,3,2018-04-06,2018-04-11,538.19,538.19,353.48,184.71,57.84,late
