loan_id,customer_id,disbursement_account_id,loan_type,principal_amount,origination_date,term_months,status
1,393,34,mortgage,289108.98,2019-01-16,180,active
2,384,472,personal,1358.26,2019-12-24,24,active
3,235,334,student,27971.51,2017-07-10,60,active
4,12,383,auto,17625.05,2023-11-21,72,active
5,358,487,auto,20489.71,2017-07-10,36,paid_off
6,121,446,personal,16917.69,2017-07-23,36,active
7,164,479,auto,33228.74,2024-12-03,72,active
8,147,483,student,54364.15,2024-03-23,120,paid_off
9,248,527,personal,14664.89,2021-03-24,24,active
10,269,,personal,11266.7,2021-03-17,24,active
11,270,545,auto,8455.95,2021-10-13,60,active
12,220,103,personal,1470.51,2019-12-22,36,paid_off
13,352,216,student,22263.02,2017-12-17,120,active
14,1,250,personal,4209.36,2020-10-05,36,active
15,382,198,personal,13503.95,2018-12-24,36,active
16,106,490,mortgage,193275.36,2018-04-15,240,active
17,209,518,personal,11288.71,2024-03-13,24,active
18,81,,student,47574.35,2018-09-25,180,active
19,66,97,mortgage,293552.65,2019-07-14,240,paid_off
20,80,20,student,29122.51,2024-07-14,120,paid_off
21,83,163,auto,17590.65,2019-01-29,60,active
22,187,24,student,8891.79,2020-10-04,60,active
23,340,,student,22639.24,2019-03-13,180,active
24,92,127,auto,19138.79,2023-12-05,72,paid_off
25,318,183,personal,10241.41,2016-01-29,36,active
26,326,,mortgage,352518.78,2020-01-23,180,paid_off
27,337,103,student,39760.02,2019-04-05,120,paid_off
28,391,499,personal,16898.13,2018-01-19,24,active
29,391,333,mortgage,251228.1,2022-03-31,360,active
30,268,469,mortgage,407776.39,2021-07-09,240,paid_off
31,247,,auto,32913.15,2021-11-13,36,paid_off
32,165,3,mortgage,499217.82,2018-10-10,240,active
33,31,152,personal,14106.72,2023-11-14,12,active
34,119,262,auto,21286.38,2020-10-19,60,paid_off
35,242,520,auto,25132.0,2018-03-29,48,active
36,304,289,personal,6583.99,2021-05-21,24,active
37,17,125,student,49042.07,2024-08-28,60,active
38,290,293,mortgage,109192.05,2020-01-18,240,paid_off
39,284,521,auto,21920.04,2020-08-30,72,active
40,379,229,personal,2994.77,2018-02-01,36,active
41,202,182,mortgage,110554.32,2023-08-28,240,active
42,52,336,mortgage,178506.17,2018-08-29,180,active
43,238,239,personal,6797.02,2023-08-19,24,active
44,197,467,auto,33813.23,2023-11-27,48,active
45,207,345,mortgage,485302.44,2024-11-04,180,active
46,285,70,auto,10596.39,2020-03-18,36,active
47,168,286,auto,13638.82,2016-02-27,48,active
48,62,402,mortgage,248576.62,2022-12-18,180,paid_off
49,236,,mortgage,100117.94,2022-10-31,180,paid_off
50,369,61,mortgage,461182.06,2024-05-19,240,active
51,86,,student,47623.23,2019-05-14,60,active
52,359,267,auto,40448.76,2020-11-14,72,active
53,365,115,mortgage,207813.58,2020-12-14,360,active
54,178,401,mortgage,360592.67,2021-07-13,360,active
55,184,138,personal,13151.75,2021-02-04,12,active
56,247,227,student,41500.49,2019-11-07,120,active
57,225,350,mortgage,352434.72,2018-02-18,180,active
58,376,196,auto,28019.43,2017-06-13,48,active
59,44,543,student,9455.84,2024-05-24,60,active
60,138,490,personal,8682.33,2024-12-11,24,defaulted
61,36,,mortgage,94847.9,2022-02-11,180,paid_off
62,125,58,mortgage,295743.74,2020-02-08,180,paid_off
63,249,371,mortgage,497172.22,2018-04-13,240,active
64,369,421,auto,30165.08,2023-10-22,48,active
65,259,,mortgage,462293.96,2022-05-30,180,active
66,57,147,personal,12031.58,2019-12-15,12,active
67,137,124,mortgage,423336.3,2021-11-15,240,paid_off
68,303,414,student,58908.3,2020-03-08,120,active
69,317,320,student,58184.48,2021-05-12,120,paid_off
70,146,352,auto,43775.79,2024-10-29,72,active
71,20,401,personal,11925.62,2017-11-30,12,active
72,132,386,student,28484.45,2017-10-01,60,active
73,45,458,personal,15929.07,2016-05-07,12,active
74,191,96,student,41606.04,2024-03-22,180,active
75,214,,mortgage,336692.38,2016-02-12,180,active
76,68,511,mortgage,257782.16,2022-05-07,180,active
77,385,369,auto,26212.1,2022-09-10,48,active
78,50,509,mortgage,478460.43,2022-04-14,240,active
79,106,341,personal,15210.27,2021-12-06,24,paid_off
80,35,,auto,16844.73,2024-11-15,48,active
81,74,520,auto,42638.41,2018-03-06,60,active
82,59,481,mortgage,493020.82,2016-09-07,180,active
83,125,96,mortgage,93835.73,2019-12-12,180,active
84,31,127,auto,43282.27,2022-04-30,36,active
85,339,521,mortgage,85919.74,2017-06-10,360,active
86,57,309,mortgage,454634.93,2016-11-20,360,active
87,372,243,mortgage,418893.78,2016-03-01,360,paid_off
88,210,427,mortgage,118432.9,2016-06-18,360,paid_off
89,158,150,mortgage,290530.8,2017-01-08,240,paid_off
90,14,,auto,34614.27,2018-04-04,48,active
91,55,114,mortgage,94086.48,2020-05-18,240,active
92,303,,mortgage,137478.93,2019-05-02,240,active
93,76,293,auto,18458.15,2023-04-23,72,active
94,151,436,auto,44696.66,2019-08-09,60,active
95,167,544,auto,13213.95,2016-06-21,60,paid_off
96,171,371,auto,26056.26,2017-07-13,72,defaulted
97,81,248,auto,23274.56,2023-05-30,60,active
98,300,13,student,8575.47,2017-06-05,180,active
99,339,24,mortgage,410000.88,2021-06-03,180,active
100,95,,personal,3540.0,2018-07-22,12,active
101,220,267,student,21524.97,2018-04-19,60,active
102,68,,student,19998.24,2022-03-29,120,paid_off
103,248,167,student,10200.47,2023-11-13,60,active
104,149,269,personal,12016.64,2022-09-06,24,active
105,122,430,student,36415.85,2022-12-05,60,paid_off
106,396,409,personal,9717.36,2021-06-03,24,active
107,188,191,personal,6298.53,2020-02-14,12,paid_off
108,208,178,mortgage,371886.64,2017-12-21,240,paid_off
109,8,380,mortgage,448031.61,2019-03-17,180,active
110,397,285,mortgage,152296.65,2022-10-02,240,active
111,151,,student,6602.76,2019-01-10,120,active
112,277,384,student,57930.67,2022-08-14,60,paid_off
113,47,254,personal,7737.3,2020-05-01,24,active
114,58,334,auto,28723.49,2023-11-14,60,active
115,134,304,auto,27116.09,2019-07-24,72,paid_off
116,131,,auto,39031.98,2022-07-15,48,paid_off
117,82,,auto,30648.2,2018-06-24,36,active
118,294,117,student,44848.37,2016-01-20,180,active
119,146,481,auto,8612.73,2020-01-06,60,active
120,125,517,personal,13269.39,2022-12-06,36,active
121,184,102,mortgage,404813.59,2021-10-09,360,active
122,8,100,mortgage,156945.47,2018-09-05,360,active
123,226,195,mortgage,165255.38,2019-10-17,240,paid_off
124,235,536,student,55638.81,2022-04-27,60,active
125,183,275,student,53394.89,2019-10-03,120,active
126,9,269,student,52388.16,2024-11-28,180,active
127,143,306,personal,6034.95,2016-10-14,24,paid_off
128,382,408,personal,15950.12,2018-06-11,36,active
129,12,17,personal,16065.53,2020-03-15,24,active
130,381,250,student,12412.6,2023-01-12,180,active
131,305,252,auto,14306.59,2020-08-20,48,active
132,105,,mortgage,480503.76,2024-05-13,240,active
133,55,268,mortgage,103371.67,2021-10-04,240,active
134,78,419,student,30657.3,2019-01-14,180,active
135,24,527,mortgage,393043.67,2019-06-03,360,active
136,51,,auto,38947.71,2021-04-07,72,active
137,237,182,auto,30297.63,2016-06-04,60,active
138,69,119,mortgage,359780.91,2023-08-10,240,active
139,269,,personal,16328.98,2017-03-08,36,active
140,289,265,personal,1580.77,2017-12-23,12,active
141,31,63,personal,14701.82,2016-11-10,12,active
142,228,172,personal,4816.68,2022-03-09,36,active
143,270,163,personal,19029.72,2024-09-19,24,active
144,87,187,student,32444.29,2017-08-21,120,paid_off
145,164,436,mortgage,393410.5,2023-10-18,180,active
146,138,470,student,18892.3,2021-11-05,60,active
147,254,213,mortgage,392272.74,2020-04-11,180,active
148,96,294,mortgage,165578.67,2024-11-06,180,paid_off
149,209,421,mortgage,155746.1,2017-08-31,360,active
150,177,310,mortgage,153366.62,2021-01-28,240,active
151,178,1,mortgage,85817.63,2021-01-10,180,paid_off
152,223,200,auto,36353.73,2021-08-17,72,active
153,371,119,mortgage,369073.22,2024-09-28,360,active
154,285,205,auto,11095.42,2023-04-04,72,active
155,164,323,student,16492.7,2020-02-11,120,active
156,382,83,auto,37685.08,2024-05-29,36,active
157,381,34,auto,43958.84,2024-09-05,36,active
158,234,,student,19101.01,2019-03-29,180,active
159,324,198,auto,14405.36,2021-07-20,36,active
160,325,266,personal,3821.17,2018-10-31,36,active
161,349,210,auto,22226.45,2023-01-28,60,active
162,160,485,student,44187.77,2024-08-22,180,active
163,259,134,mortgage,358000.42,2021-01-11,360,active
164,351,,personal,13532.91,2019-08-06,24,paid_off
165,268,286,student,25366.09,2022-10-02,120,active
166,95,,mortgage,360502.38,2023-08-15,180,active
167,306,70,auto,29720.09,2017-04-13,48,active
168,51,459,personal,14070.39,2024-05-01,24,active
169,98,,auto,27702.3,2023-01-01,48,active
170,359,494,student,59398.63,2024-07-14,60,active
171,311,447,auto,13813.08,2020-11-02,36,paid_off
172,200,106,auto,8726.56,2018-06-27,48,paid_off
173,54,363,personal,15897.99,2023-05-09,24,active
174,248,,student,59318.79,2016-09-30,120,defaulted
175,155,,student,52990.89,2017-01-08,180,active
176,274,422,mortgage,129798.4,2016-05-19,180,active
177,191,232,mortgage,95741.06,2022-02-23,240,paid_off
178,269,386,student,52124.35,2017-01-28,120,active
179,156,355,mortgage,423895.22,2020-11-06,240,active
180,74,,student,25064.29,2023-09-12,180,active
