score_id,customer_id,score_date,score_value,model_version
1,1,2022-03-21,542.7,v1.3
2,1,2022-09-03,512.4,v1.3
3,1,2023-03-03,542.9,v1.3
4,2,2022-11-10,651.2,v1.2
5,2,2023-07-04,656.9,v2.0
6,2,2023-09-26,638.3,v1.2
7,2,2023-12-19,640.9,v1.3
8,2,2024-05-13,617.0,v1.3
9,3,2023-06-16,379.9,v1.2
10,3,2023-10-26,399.2,v1.2
11,4,2023-05-22,303.0,v1.3
12,4,2023-08-18,335.9,v2.0
13,4,2024-01-12,374.7,v1.3
14,4,2024-08-25,378.8,v1.3
15,5,2022-12-03,507.6,v1.3
16,6,2021-09-11,350.9,v1.3
17,6,2022-03-03,330.5,v2.0
18,6,2022-09-19,320.2,v1.3
19,7,2021-02-23,399.0,v1.3
20,7,2021-07-10,417.2,v2.0
21,7,2021-10-10,425.5,v1.3
22,7,2022-02-14,386.2,v1.3
23,7,2022-05-12,370.6,v1.2
24,8,2022-06-18,350.6,v1.3
25,8,2022-09-11,375.0,v2.0
26,9,2021-12-23,658.8,v1.3
27,9,2022-08-03,676.0,v1.3
28,10,2023-01-01,283.5,v1.2
29,10,2023-05-28,264.4,v1.3
30,10,2024-01-04,226.7,v2.0
31,10,2024-08-22,210.3,v1.2
32,11,2021-10-23,379.2,v1.3
33,11,2022-03-13,354.1,v2.0
34,11,2022-10-19,370.3,v1.2
35,12,2022-02-06,504.9,v1.2
36,12,2022-09-12,538.0,v1.2
37,12,2022-12-06,555.1,v1.3
38,12,2023-06-27,539.9,v2.0
39,12,2023-12-13,527.0,v1.2
40,13,2023-09-09,355.3,v2.0
41,13,2023-11-18,344.6,v1.2
42,13,2024-01-28,325.4,v1.2
43,13,2024-04-03,364.7,v1.3
44,14,2022-11-02,579.3,v1.3
45,15,2021-11-01,492.8,v1.3
46,16,2021-04-11,722.0,v2.0
47,16,2021-08-27,691.6,v2.0
48,16,2022-01-30,686.2,v1.3
49,16,2022-05-03,711.2,v1.2
50,17,2023-04-14,555.6,v2.0
51,18,2021-06-22,326.6,v1.2
52,18,2022-02-17,327.4,v1.3
53,18,2022-06-09,291.2,v1.2
54,18,2022-10-06,271.8,v2.0
55,19,2021-04-28,571.3,v2.0
56,19,2021-12-07,609.2,v1.2
57,19,2022-05-22,625.3,v2.0
58,20,2021-12-19,504.0,v2.0
59,20,2022-07-18,479.6,v2.0
60,20,2022-09-22,450.2,v1.3
61,20,2023-02-27,417.7,v1.3
62,21,2023-09-02,760.9,v1.3
63,22,2021-01-28,385.7,v2.0
64,22,2021-09-09,360.8,v1.3
65,22,2022-03-15,392.4,v1.2
66,22,2022-05-31,360.9,v2.0
67,23,2021-02-15,571.1,v2.0
68,23,2021-09-26,575.4,v1.2
69,23,2022-02-18,562.3,v2.0
70,24,2022-09-18,366.6,v1.2
71,25,2023-02-22,521.7,v2.0
72,25,2023-04-28,557.7,v1.3
73,25,2023-07-12,542.9,v1.2
74,25,2024-03-03,514.7,v1.3
75,26,2023-05-12,583.8,v1.3
76,26,2023-08-25,575.5,v1.3
77,27,2021-04-30,798.2,v2.0
78,27,2021-11-04,838.0,v1.3
79,27,2022-01-11,803.8,v1.3
80,28,2023-06-28,756.5,v1.2
81,28,2024-01-08,766.3,v1.3
