transaction_id,account_id,txn_type_id,amount,currency_code,txn_datetime,description,related_transaction_id
1,545,1,1874.19,USD,2025-01-19T22:19:48,Deposit,
2,508,2,-2252.3,USD,2024-01-27T02:13:54,ATM withdrawal,
3,189,5,-1984.04,USD,2022-06-05T17:12:43,Monthly fee,
4,379,1,1278.78,USD,2022-08-21T20:10:02,Deposit,
5,118,5,-207.95,USD,2024-07-17T18:57:32,Monthly fee,
6,232,5,-96.04,USD,2024-07-10T14:50:04,Monthly fee,
7,432,1,504.48,USD,2022-03-05T17:46:51,Deposit,
8,226,1,4272.98,USD,2024-06-22T07:19:53,Deposit,
9,441,2,-879.63,USD,2024-01-24T11:14:41,ATM withdrawal,
10,247,6,4319.21,USD,2023-10-19T06:06:31,Interest credit,
11,336,2,-4086.98,USD,2025-01-23T12:06:50,ATM withdrawal,
12,190,2,-1280.59,USD,2022-02-17T20:42:03,ATM withdrawal,
13,34,2,-1567.37,USD,2023-02-09T15:53:45,ATM withdrawal,
14,343,1,2667.54,USD,2023-12-05T01:40:02,Deposit,
15,190,2,-2805.38,USD,2023-07-02T00:42:33,ATM withdrawal,
16,503,5,-4904.5,USD,2024-09-26T22:33:46,Monthly fee,
17,268,2,-4576.82,USD,2023-12-11T02:40:35,ATM withdrawal,
18,39,2,-4023.85,USD,2023-09-29T05:07:40,ATM withdrawal,
19,309,2,-4358.88,USD,2025-12-23T16:19:04,ATM withdrawal,
20,397,2,-4700.45,USD,2025-12-23T08:56:18,ATM withdrawal,
21,503,6,3251.58,USD,2023-01-18T15:41:39,Interest credit,
22,427,2,-3090.22,USD,2022-11-05T00:22:23,ATM withdrawal,
23,83,5,-3705.31,USD,2024-08-10T00:50:16,Monthly fee,
24,364,2,-3685.26,USD,2023-04-19T00:18:14,ATM withdrawal,
25,257,5,-2778.5,USD,2024-01-11T18:35:58,Monthly fee,
26,524,2,-3454.72,USD,2024-11-23T15:18:18,ATM withdrawal,
27,226,2,-3366.79,USD,2023-02-27T03:16:40,ATM withdrawal,
28,12,2,-3048.62,USD,2023-04-11T00:03:34,ATM withdrawal,
29,109,1,1114.3,USD,2022-07-05T02:07:41,Deposit,
30,307,1,2460.42,USD,2024-02-05T18:29:34,Deposit,
31,448,2,-363.92,USD,2024-05-02T06:16:32,ATM withdrawal,
32,313,5,-1175.22,USD,2022-05-02T10:13:19,Monthly fee,
33,268,6,4862.43,USD,2023-12-28T00:50:32,Interest credit,
34,152,2,-2775.25,USD,2024-12-17T20:34:35,ATM withdrawal,
35,100,6,405.52,USD,2024-07-25T20:05:37,Interest credit,
36,335,1,2455.46,USD,2022-10-21T15:07:19,Deposit,
37,390,2,-1746.72,USD,2023-08-26T04:34:19,ATM withdrawal,
38,446,6,1077.46,USD,2025-07-17T22:58:49,Interest credit,
39,455,2,-267.6,USD,2022-12-08T06:33:14,ATM withdrawal,
40,159,2,-2409.87,USD,2023-10-02T19:16:15,ATM withdrawal,
41,144,6,4835.18,USD,2023-08-23T00:10:24,Interest credit,
42,362,5,-2750.46,USD,2025-06-17T05:16:23,Monthly fee,
43,52,2,-1181.97,USD,2023-05-23T03:01:32,ATM withdrawal,
44,102,5,-3240.29,USD,2025-01-03T23:01:52,Monthly fee,
45,334,1,1269.52,USD,2025-09-12T16:33:45,Deposit,
46,181,6,1131.03,USD,2025-07-26T08:57:37,Interest credit,
47,48,5,-3285.12,USD,2024-10-15T02:34:55,Monthly fee,
48,68,2,-4134.75,USD,2022-10-23T09:48:02,ATM withdrawal,
49,417,2,-4418.39,USD,2023-08-07T13:06:14,ATM withdrawal,
50,222,5,-1306.86,USD,2023-01-23T23:15:30,Monthly fee,
51,61,2,-4312.9,USD,2023-10-21T10:22:48,ATM withdrawal,
52,401,2,-1457.5,USD,2025-01-30T03:57:16,ATM withdrawal,
53,118,5,-2319.44,USD,2024-07-19T21:07:35,Monthly fee,
54,58,6,4576.63,USD,2025-03-02T04:09:48,Interest credit,
55,194,6,2073.33,USD,2022-10-07T17:40:23,Interest credit,
56,108,5,-536.15,USD,2022-01-01T16:48:53,Monthly fee,
57,185,6,1394.13,USD,2025-09-08T14:17:23,Interest credit,
58,422,5,-4283.48,USD,2025-04-05T20:48:38,Monthly fee,
59,154,5,-93.91,USD,2024-05-29T06:14:30,Monthly fee,
60,237,6,1445.92,USD,2023-02-17T11:48:14,Interest credit,
61,508,1,907.91,USD,2023-08-22T12:15:03,Deposit,
62,512,1,3246.07,USD,2022-04-29T19:21:33,Deposit,
63,212,1,1290.32,USD,2025-01-09T12:13:09,Deposit,
64,246,1,253.24,USD,2024-04-06T11:44:20,Deposit,
65,510,5,-2387.92,USD,2025-10-30T09:38:12,Monthly fee,
66,406,6,2455.05,USD,2023-10-30T04:06:25,Interest credit,
67,17,2,-1492.94,USD,2022-12-08T16:37:29,ATM withdrawal,
68,287,1,3090.26,USD,2025-11-06T18:13:17,Deposit,
69,401,5,-2379.88,USD,2025-05-12T06:23:14,Monthly fee,
70,345,6,823.31,USD,2022-08-04T23:20:18,Interest credit,
71,154,6,672.0,USD,2024-04-27T14:54:05,Interest credit,
72,539,2,-4649.36,USD,2024-09-05T01:05:13,ATM withdrawal,
73,442,1,2918.29,USD,2024-04-24T12:28:14,Deposit,
74,191,2,-606.11,USD,2025-08-09T14:41:49,ATM withdrawal,
75,459,5,-2950.61,USD,2022-05-18T09:16:31,Monthly fee,
76,491,2,-125.48,USD,2023-07-28T10:14:57,ATM withdrawal,
77,230,6,3658.09,USD,2024-03-04T18:50:29,Interest credit,
78,104,6,692.5,USD,2024-03-27T04:50:52,Interest credit,
79,280,2,-2880.19,USD,2025-09-10T01:48:25,ATM withdrawal,
80,227,1,197.88,USD,2024-08-11T18:33:11,Deposit,
81,213,2,-3199.54,USD,2025-02-11T18:56:04,ATM withdrawal,
82,486,6,3775.12,USD,2025-09-22T20:23:55,Interest credit,
83,429,2,-3112.46,USD,2022-06-02T03:32:29,ATM withdrawal,
84,106,6,714.15,USD,2025-08-09T18:33:30,Interest credit,
85,449,2,-1645.15,USD,2025-10-08T03:59:03,ATM withdrawal,
86,362,6,1064.94,USD,2023-09-07T13:33:21,Interest credit,
87,3,1,3102.98,USD,2024-07-07T19:43:16,Deposit,
