transfer_id,from_account_id,to_account_id,amount,initiated_at,completed_at,status,debit_transaction_id,credit_transaction_id
1,3,261,3950.35,2024-03-29T19:41:16,,failed,6301,
2,161,444,4033.74,2025-01-17T14:53:58,2025-01-17T14:58:58,completed,6302,6303
3,48,335,1325.07,2023-03-26T12:12:50,2023-03-26T12:14:50,completed,6304,6305
4,423,88,2905.9,2023-01-08T22:22:23,,pending,6306,
5,105,402,3981.88,2024-09-30T15:27:05,2024-09-30T15:31:05,completed,6307,6308
6,61,282,1312.94,2025-07-31T03:49:00,2025-07-31T03:52:00,completed,6309,6310
7,129,127,5567.87,2025-01-28T05:13:49,2025-01-28T05:14:49,completed,6311,6312
8,406,245,5866.3,2025-01-20T14:35:36,2025-01-20T14:37:36,completed,6313,6314
9,534,62,2424.67,2025-03-06T10:11:26,2025-03-06T10:13:26,completed,6315,6316
10,376,479,470.21,2022-11-07T22:50:26,,pending,6317,
11,123,319,7164.97,2024-11-09T21:00:16,2024-11-09T21:00:16,completed,6318,6319
12,156,497,1786.39,2023-08-11T11:03:45,2023-08-11T11:06:45,completed,6320,6321
13,193,370,1745.32,2025-08-17T16:18:54,2025-08-17T16:19:54,completed,6322,6323
14,219,401,1138.48,2024-12-03T16:09:58,2024-12-03T16:14:58,completed,6324,6325
15,59,476,989.54,2023-10-14T15:38:42,2023-10-14T15:42:42,completed,6326,6327
16,304,252,2608.13,2025-05-23T11:57:56,2025-05-23T11:57:56,completed,6328,6329
17,235,306,3731.68,2023-10-21T19:19:14,2023-10-21T19:22:14,completed,6330,6331
18,471,484,5144.48,2024-07-23T02:42:23,2024-07-23T02:45:23,completed,6332,6333
19,202,228,7875.62,2025-08-27T23:03:51,,pending,6334,
20,142,490,7542.71,2022-10-19T20:29:05,2022-10-19T20:31:05,completed,6335,6336
21,410,284,6651.41,2024-09-22T22:46:04,2024-09-22T22:47:04,completed,6337,6338
22,432,343,449.38,2023-03-02T07:07:43,2023-03-02T07:10:43,completed,6339,6340
23,264,9,60.84,2024-10-31T07:42:10,2024-10-31T07:43:10,completed,6341,6342
24,111,172,1776.13,2025-04-07T00:56:33,2025-04-07T00:56:33,completed,6343,6344
25,516,352,4494.24,2022-05-07T12:48:55,2022-05-07T12:49:55,completed,6345,6346
26,236,375,1615.57,2024-02-20T16:55:23,2024-02-20T17:00:23,completed,6347,6348
27,140,266,622.98,2025-12-02T17:27:50,2025-12-02T17:28:50,completed,6349,6350
28,442,301,6666.57,2023-02-10T00:46:24,2023-02-10T00:50:24,completed,6351,6352
29,99,464,2662.41,2023-10-15T10:41:19,2023-10-15T10:41:19,completed,6353,6354
30,300,501,3075.87,2025-07-24T13:14:37,2025-07-24T13:19:37,completed,6355,6356
31,446,358,1128.63,2023-11-13T05:25:12,2023-11-13T05:27:12,completed,6357,6358
32,206,281,1068.88,2022-03-01T14:22:28,2022-03-01T14:25:28,completed,6359,6360
33,75,252,23.56,2022-02-05T13:41:00,2022-02-05T13:44:00,completed,6361,6362
34,451,504,1556.2,2024-12-27T17:17:09,2024-12-27T17:20:09,completed,6363,6364
35,203,64,3077.19,2025-10-14T04:56:39,2025-10-14T05:01:39,completed,6365,6366
36,384,301,5317.2,2024-11-24T02:10:35,2024-11-24T02:14:35,completed,6367,6368
37,190,277,1698.7,2025-01-09T01:56:00,2025-01-09T01:56:00,completed,6369,6370
38,174,415,7341.79,2022-03-09T06:21:57,,pending,6371,
39,186,330,5115.77,2025-07-13T22:35:22,,pending,6372,
40,322,524,7733.26,2022-03-21T02:12:08,2022-03-21T02:15:08,completed,6373,6374
41,221,263,3851.63,2025-07-03T15:41:18,2025-07-03T15:44:18,completed,6375,6376
42,369,217,7133.8,2022-07-17T05:44:42,2022-07-17T05:46:42,completed,6377,6378
43,176,461,4802.64,2025-05-17T06:24:25,2025-05-17T06:28:25,completed,6379,6380
